Категория; Имя продукта; Код продукта; Цена, бел.руб ;
Мыши Sony; Мышь Sony VGP-BMS20/D Laser Bluetooth 800dpi/ Orange; 789742/3725; 469774.00000; 
Мыши Sony; Мышь Sony VGP-BMS20/G Laser Bluetooth 800dpi/ Green; 787535/3725; 469774.00000; 
Мыши Sony; Мышь Sony VGP-BMS20/GI Laser Bluetooth 800dpi/ Green; 787536/3725; 469774.00000; 
Мыши других производителей; Мышь Arctic Cooling M571 Laser/ 2400dpi/ 1.8m./ Black/ USB; 787949/3725; 204234.00000; 
Мыши других производителей; Мышь Chicony MGR-0846T Mini/ Optical/ Wireless/ USB/ Black-Silver/ 2xAA; 789318/3725; 80040.00000; 
Мыши других производителей; Мышь Chicony MS-0526 Mini/ Optical/ USB/ Black-Silver; 787183/3725; 171769.00000; 
Коврики для мыши; Mouse Pad Nova Lady Precious PS Pink со стразами Swarowski; 779844/3725; 102101.00000; 
Коврики для мыши; Mouse Pad Zava Elite Натуральная кожа; 786943/3725; 132899.00000; 
Коврики для мыши; Mouse Pad Zava Standart натуральная кожа; 786942/3725; 74867.00000; 
Навигаторы GPS; GPS-навигатор PRESTIGIO GeoVision 4141BT 4.3''/ Atlas V/ 128Mb/ 2G/ Navitel/ Bluetooth/ Micro SD/ USB/ Widows CE 6.0; 787660/3725; 827172.00000; 
Навигаторы GPS; GPS-навигатор PRESTIGIO GeoVision 4500 4.3''/ Atlas V/ 128Mb/ 4G/ Navitel/ Micro SD/ USB; 786471/3725; 758172.00000; 
Навигаторы GPS; GPS-навигатор Starway 500X 5.0'' 800x480/ Atlas V/ 128Mb/ FM/ BT/ SDHC up to 32Gb/ Win CE 6.0/ USB; 788673/3725; 926581.00000; 
Навигаторы GPS; GPS-навигатор Starway 5X 5.0'' 800x480/ Atlas V/ 128Mb/ FM/ SDHC up to 32Gb/ Win CE 6.0/ USB; 788153/3725; 848701.00000; 
Принтеры лазерные цветные; Canon i-SENSYS LBP5050 Color A4/ 12/8ppm/ 600x600dpi/ подача/вывод 250/65/ 16Mb/ USB; 782483/3725; 2094320.00000; 
Принтеры лазерные цветные; Canon i-SENSYS LBP7018C Color A4/ 16/4ppm/ 600x600dpi/ подача/вывод 150/50/ 16Mb/ USB; 789813/3725; 1606665.00000; 
Принтеры лазерные цветные; HP LaserJet Pro CP1025 Color A4/ 16/4ppm/ 600x600dpi/ подача/вывод 150/50/ 8Mb/ USB; 786777/3725; 1962498.00000; 
Принтеры лазерные; HP HP LaserJet Pro P1102 A4/ 18ppm/ 600x600dpi/ подача/вывод 150/100/ 2Mb/ USB; 784249/3725; 1123088.00000; 
Принтеры лазерные цветные; Samsung CLP-320 Color A4/ 16/4ppm/ 2400x600dpi/ подача/вывод 130/80/ 32Mb/ USB; 785663/3725; 1451718.00000; 
Принтеры лазерные; Samsung ML-1675 A4/ 16ppm/ 1200x1200dpi/ подача/вывод 150/100/ 8Mb/ USB; 789500/3725; 749963.00000; 
Принтеры лазерные; Samsung ML-3310ND A4/ 31ppm/ 1200x1200dpi/ подача/вывод 250/150/ 64Mb/ Duplex/ RJ-45/ USB; 789796/3725; 2439840.00000; 
Принтеры лазерные; Xerox Phaser 3140 A4/ 18ppm/ 600x600dpi/ подача/вывод 251/80/ 8Mb/ USB; 782371/3725; 925294.00000; 
Принтеры лазерные; Xerox Phaser 3160B A4/ 24ppm/ 1200x1200dpi/ подача/вывод 251/80/ 64Mb/ USB; 784818/3725; 1600800.00000; 
МФУ лазерные; Canon i-SENSYS MF3010 МФУ A4/ 18ppm/ 600x400dpi/ подача/вывод 150/100/ 64Mb/ LCD/ USB; 789251/3725; 1635300.00000; 
МФУ лазерные; Canon i-SENSYS MF4410 МФУ A4/ 23ppm/ 600x600dpi/ подача/вывод 250/100/ 64Mb/ LCD/ USB; 785927/3725; 1964700.00000; 
МФУ лазерные; Canon i-SENSYS MF4430 МФУ A4/ 23ppm/ 600x600dpi/ подача/вывод 250/100/ 64Mb/ LCD/ USB; 786269/3725; 2191900.00000; 
МФУ лазерные цветные; HP LaserJet CM2320fxi МФУ+Fax 4 Color A4/ 20 чб/цв/ 600х600dpi/ 160Mb/ RJ-45/ RJ-11/ Duplex/ LCD 2.4''/ USB; 787732/3725; 9766586.00000; 
МФУ лазерные; HP LaserJet Pro M1217nfw МФУ+Fax A4/ 18ppm/ 600x600dpi/ подача/вывод 150/100/ 64Mb/ RJ-45/ LCD/ Wi-Fi/ AirPrint/ USB; 787734/3725; 2773386.00000; 
МФУ лазерные; Xerox Phaser 3100MFP/S МФУ A4/ 20ppm/ 600x600dpi/ подача/вывод 251/50/ 32Mb/ LCD/ USB; 779758/3725; 1626640.00000; 
Принтеры струйные; Canon Pixma iP2700 Color A4/ 22/17ppm/ 4800x1200dpi/ USB; 783704/3725; 404800.00000; 
Принтеры струйные; Canon Pixma iP3600 Color A4/ 7/5ppm/ 9600x2400dpi/ USB; 779477/3725; 779113.00000; 
Принтеры струйные; Canon Pixma iP4940 Color A4/ 12/9ppm/ 9600x2400dpi/ Duplex/ PrintCD/ USB; 789684/3725; 924600.00000; 
Принтеры струйные; HP HP Deskjet 3000 Color A4/ 20/16ppm/ 4800x1200dpi/ подача/вывод 60/25/ LCD/ Wi-Fi/ USB; 785169/3725; 704348.00000; 
МФУ струйные; Canon PIXMA MG5240 МФУ Color A4/ 12/9ppm/ 9600x2400dpi/ подача/вывод 150/150/ Duplex/ LCD 2.4''/ Wi-Fi/ CardReader/ PrintCD/ USB; 785708/3725; 1796594.00000; 
МФУ струйные; Canon Pixma MG8140 МФУ Color A4/ 12/9ppm/ 9600x2400dpi/ подача/вывод 150/150/ Duplex/ RJ-45/ LCD 3.5''/ Wi-Fi/ CardReader/ PrintCD/ USB; 786355/3725; 4100878.00000; 
МФУ струйные; Canon Pixma MX360 МФУ+Fax Color A4/ 8/5ppm/ 4800x1200dpi/ LCD/ USB; 788091/3725; 712673.00000; 
МФУ струйные; Canon Pixma MX410 МФУ+Fax Color A4/ 8.7/5ppm/ 4800x1200dpi/ LCD/ Wi-Fi/ USB; 788092/3725; 927636.00000; 
МФУ струйные; Epson Stylus SX130 МФУ Color A4/ 28/15ppm/ 5760x1440dpi/ USB; 789072/3725; 602337.00000; 
Крепления для телевизоров мониторов плазменных панелей; Универсальное потолочное крепление до 15кг/ длина от 116 до 578 мм; 787040/3725; 768163.00000; 
Сканеры Canon; Canon CanoScan LIDE 110 A4/ планшетный/ CIS/ 48bit/ 2400x4800 dpi/ USB 2.0; 785404/3725; 786025.00000; 
Сканеры Canon; Canon CanoScan LIDE 210 A4/ Color/ планшетный/ CIS/ 4800x4800 dpi/ USB 2.0; 785510/3725; 1017336.00000; 
Сканеры Hewlett Packard; HP Scan Jet G2710 A4 Color/ CCD/ 2400dpi/ 48bit/ Scan + Copy Buttons/ USB; 778031/3725; 889349.00000; 
Сканеры Hewlett Packard; HP Scan Jet G3110 A4 Color/ CCD/ 4800dpi/ 48bit/ Scan + Copy Buttons/ USB; 780226/3725; 1127874.00000; 
Сканеры Hewlett Packard; HP Scan Jet G4010 A4 Color/ CCD/ 4800x9600 dpi/ 96 bit/ USB; 779180/3725; 1656659.00000; 
Сканеры Hewlett Packard; HP Scan Jet G4050 А4/ Color/ CCD/ 4800x9600 dpi/ 96 bit/ USB 2.0; 779013/3725; 2387407.00000; 
Планшетные компьютеры ПРОЧИЕ;" Prestigio MultiPad PMP7070CRU ARM Cortex-A8/ 256Mb/ 8G/ 7""/ Wi-Fi/ BT/ Cam/ HDMI/ mUSB/ Android/ Grey/ СТБ"; 787966/3725; 2691839.00000; 
Материнские платы для AMD Socket AM3+; BOX Socket AM3 Athlon II X3 455 3.3GHz (128KB + 1536KB) Rana; 789776/3725; 886892.00000; 
UPS FSP; UPS FSP EP450 450ВА/240Вт Линейно-интерактивный; 789106/3725; 431940.00000; 
UPS FSP; UPS FSP EP850 850ВА/480Вт Линейно-интерактивный; 789703/3725; 607200.00000; 
UPS American Power Conversion (APC); UPS Powerex VI 650 LED Line Interactive 650VA/360W 2 розетки; 785624/3725; 371520.00000; 
UPS American Power Conversion (APC); UPS Powerex VI 850 LED Line Interactive 850VA/480W 2 розетки; 785625/3725; 555120.00000; 
Стабилизаторы напряжения FSP; Стабилизатор напряжения FSP Scudo AVR 600 (вх.180 ~ 264 В/ 3 розетки евро.стандарт/ защита телефонной линии); 789706/3725; 260820.00000; 
Клавиатуры A4Tech; Клавиатура A4Tech G100 USB Игровой блок/ 4 сменные клавиши/ защита от пролива воды; 780537/3725; 161190.00000; 
Клавиатуры прочих производителей; Клавиатура Chicony KB-0833 Black/ 10 hot keys/ PS/2 Macintosh desing.; 781565/3725; 100800.00000; 
Клавиатуры прочих производителей; Клавиатура Chicony KB-0837 Black/ PS/2/ Low Prifile Keys; 781562/3725; 100800.00000; 
Клавиатуры прочих производителей; Клавиатура Chicony KU-0325 Black USB; 789317/3725; 55200.00000; 
Клавиатуры прочих производителей; Клавиатура Chicony KU-0512 Multimedia/ Black-Silver/ USB; 781279/3725; 123300.00000; 
Клавиатуры прочих производителей; Клавиатура Chicony KU-0837 Black/ 3 hot keys/ USB Macintosh desing.; 784054/3725; 103896.00000; 
Клавиатуры Defender; Клавиатура Defender Accent 930 104 клавиши/ Black/ USB; 780992/3725; 65073.00000; 
Клавиатуры Defender; Клавиатура Defender Episode 950 Slim/ USB/ Black; 781207/3725; 69017.00000; 
Клавиатуры Defender; Клавиатура Defender Galaxy 4710 S Slim Multimedia 119 + 15 клавиш/ Silver/ подсветка клавиш/ USB; 782060/3725; 165186.00000; 
Клавиатуры Defender; Клавиатура Defender Inox 900 Aluminium Slim/ 12 hot keys/ USB; 784354/3725; 148326.00000; 
Клавиатуры Defender; Клавиатура Defender Inox 900 Bronze Slim/ 12 hot keys/ USB; 784355/3725; 124818.00000; 
Клавиатуры Defender; Клавиатура Defender Magnate 800 Slim 117 + 13 клавиш/ Silver/ USB; 782064/3725; 101098.00000; 
Клавиатуры Defender; Клавиатура Defender Solo 850 G Slim Multimedia 119 + 15 клавиш/USB/ Grey; 782063/3725; 123524.00000; 
Клавиатуры прочих производителей; Клавиатура Dell KB212-B QuietKey Keyboard Black USB; 789581/3725; 163440.00000; 
Клавиатуры Logitech; Клавиатура Logitech Classic Keyboard K100 Black; 789068/3725; 90923.00000; 
Клавиатуры Logitech; Клавиатура Logitech Compact Keyboard K300 Black USB; 781155/3725; 253446.00000; 
Клавиатуры Logitech; Клавиатура Logitech G105 Gaming Keyboard Black USB; 789069/3725; 600443.00000; 
Клавиатуры Logitech; Клавиатура Logitech G13 Advanced Gameboard Black USB; 781287/3725; 778335.00000; 
Клавиатуры Logitech; Клавиатура Logitech K200 Black/ USB; 785188/3725; 140803.00000; 
Клавиатуры Logitech; Клавиатура Logitech Wireless Keyboard K230 Black USB; 789726/3725; 192295.00000; 
Комплекты проводные; Клавиатура + мышь Logitech Wireless Desktop MK 220 Black; 789720/3725; 260972.00000; 
Комплекты беспроводные; Клавиатура + мышь Logitech Wireless Desktop MK 710 Black; 782883/3725; 1146126.00000; 
Джойстики; Джойстик Defender Cobra R4 12кнопок/ 4 оси /8-позициооный переключатель/ USB; 788273/3725; 240761.00000; 
Джойстики; Джойстик Logitech Attack 3 Joystick; 779319/3725; 293020.00000; 
Кабели; Кабель Defender RCA2P2P-05PRO 1.5m audio/video; 781442/3725; 117558.00000; 
Кабели; Кабель Gembird CC-USB2-AMAF-10 AM-AF/ USB 2.0/ 3m; 789386/3725; 13892.00000; 
Кабели; Кабель Gembird CC-USB2-AMBM-6 AM-BM/ USB 1.1/ 1.8m; 788764/3725; 9470.00000; 
Кабели питания; Кабель питания для системного блока Gembird PC-186 1.8m; 789388/3725; 14903.00000; 
Кабели питания; Кабель питания для системного блока Gembird PC-186-10 3м; 789389/3725; 14778.00000; 
Кабели питания; Кабель питания для системного блока Gembird PC-186-15 5м; 789390/3725; 17286.00000; 
Удлинители; Удлиннитель кабеля питания Gembird PC-189-15 5м; 789394/3725; 24694.00000; 
Контроллеры прочие; Adapter Defender UAP123 USB to 2xPS/2; 787979/3725; 62353.00000; 
Контроллеры прочие; Контроллер Bluetooth Canyon CNR-BTU6; 788825/3725; 106968.00000; 
Контроллеры прочие; Контроллер Bluetooth USB Experts Nano; 784330/3725; 53306.00000; 
Рули; Руль Canyon CNG-GW1 USB/ педали/ вибрация/  Black-Orange; 787497/3725; 246688.00000; 
Баллоны. спреи; Favorit Office Disc Clean спрей для компакт дисков 250 мл; 780057/3725; 23929.00000; 
Салфетки; Favorit Office Universal Clean салфетки сухиее пачка 20шт; 780053/3725; 20944.00000; 
Чистящие средства; Parity New Комплект для очистки ноутбуков (60мл+2 салфетки); 785880/3725; 43645.00000; 
Салфетки; Parity Влажные чистящие салфетки для компьютеров и оргтехники (туба) (105шт); 785883/3725; 48643.00000; 
Чистящие средства; Parity Комплект для очистки ноутбуков (60мл+4 салфетки 15*15); 786992/3725; 34094.00000; 
Чистящие средства; Parity Комплект для очистки экранов  обычных и LCDмониторов (60мл+4 салфетки 15*15); 786993/3725; 34094.00000; 
Компъютеры Артека;" A344150V45D50 ПЭВМ ""SKY SYSTEMS"" AMD A4 X2 3400/ATX FM1/DDR3 4Gb/1500Gb/GTS450 1024MB/DVD-RW/ATX500W"; 788996/3725; 6075630.00000; 
Компъютеры Артека;" A35250V0D35 ПЭВМ ""SKY SYSTEMS"" AMD A6 X3 3500/ATX FM1/DDR3 2Gb/500Gb/DVD-RW/ATX350W"; 788742/3725; 4527600.00000; 
Компъютеры Артека;" 250250V45D45 ПЭВМ ""SKY SYSTEMS"" AMD Athlon II X2 250/ATX AM3/DDR3 2Gb/500Gb/GTS450 1024MB/DVD-RW/ATX450W"; 788995/3725; 5203727.00000; 
Компъютеры Артека;" 6454150V46D50 ПЭВМ ""SKY SYSTEMS"" AMD Athlon II X4 645/mATX AM3/DDR3 4Gb/1500GB/GTX460 1024MB/DVD-RW/ATX500W"; 788994/3725; 6958248.00000; 
Компъютеры Артека;" i21250V0D45 ПЭВМ ""SKY SYSTEMS"" Intel Core i3-2100/mATX 1155/DDR3 2Gb/500Gb/DVD-RW/ATX450W"; 788997/3725; 4925580.00000; 
Корпуса Arctic Cooling; Корпус Arctic Cooling Silentium T-11 без БП/ ATX/ 2x120mm Fan/ 2xUSB/ 2xAudio/ Black; 786098/3725; 570238.00000; 
Корпуса COOLER MASTER; Корпус Cooler Master RC-310-SKRK-GP Elite 310 460W ATX/ MidiTower/ 2xUSB/ Black; 787433/3725; 689764.00000; 
Корпуса COOLER MASTER; Корпус Cooler Master RC-330-KKRK-GP Elite 330 460W Black; 787430/3725; 695286.00000; 
Корпуса COOLER MASTER; Корпус Cooler Master RC-331-KKRK-GP Elite 331 460W Black; 787431/3725; 695286.00000; 
Корпуса COOLER MASTER; Корпус Cooler Master RC-332-KKRK-GP 460W ATX/ PFC 120mm/ Air Duct/ USB + Audio/ Silver-Black; 782300/3725; 695286.00000; 
Корпуса COOLER MASTER; Корпус Cooler Master RC-333-KKRK-GP Elite 333 460W ATX/ MidiTower/ 2xUSB/ Black; 787432/3725; 695286.00000; 
Корпуса COOLER MASTER; Корпус Cooler Master RC-334-KKRK-GP 460W ATX/ PFC 120mm/ Air Duct/ USB + Audio/ Silver-Black; 782301/3725; 695286.00000; 
Корпуса Delux; Корпус Delux MT302 450W (USB/ audio) Black-Silver; 779840/3725; 283716.00000; 
Корпуса INWIN; Корпус Inwin BR-661 450W S450CQ7 Dragon Slayer Mini Tower ATX; 787396/3725; 1165747.00000; 
Корпуса INWIN; Корпус Inwin BR-661 500W S500AQ3 Dragon Slayer Mini Tower ATX; 787397/3725; 1272475.00000; 
Корпуса INWIN; Корпус Inwin BS-658 600W S600AQ3-0 Android Mini Tower ATX; 787399/3725; 1590040.00000; 
Корпуса INWIN; Корпус Inwin C-583 450W S450T7-0 Black-Silver / ATX-P4/ 9cm/ 20+4pin/ USB/ Audio/ Air Duct; 780565/3725; 698662.00000; 
Корпуса INWIN; Корпус Inwin C-589 450W S450CQ7-0 Silver-Black P4 AIR; 787400/3725; 700298.00000; 
Корпуса INWIN; Корпус Inwin C-589T 450W Silver-Black P4 AIR; 780566/3725; 698700.00000; 
Корпуса INWIN; Корпус Inwin C-602T 450W Silver-Black P4 AIR USB Audio; 782035/3725; 698729.00000; 
Корпуса INWIN; Корпус Inwin IRC-F1002 600W S600AQ3-0 Ironclad Full Tower; 787418/3725; 2114531.00000; 
Корпуса INWIN; Корпус Inwin J-614 550W S550AQ3-0 Red Midi Tower Red; 785330/3725; 1749209.00000; 
Корпуса INWIN; Корпус Inwin J-632 550W S550AQ3-0 Midi Tower; 785328/3725; 2095716.00000; 
Корпуса INWIN; Корпус Inwin S-564 450W S450CQ7-0 Black-Silver Midi Tower/ ATX 12V; 785327/3725; 811715.00000; 
Корпуса INWIN; Корпус Inwin S-625 450W S450CQ7-0 Black MidiTower/ ATX 12V; 785325/3725; 773850.00000; 
Корпуса INWIN; Корпус Inwin Z-583T 350W/12cm FAN/ AirDuct/USB/ Audio/черный; 789319/3725; 527850.00000; 
Блоки питания 400-450 Ватт; Блок питания ATX FSP Q-dion QD450 450W 120mm Fan/ 24+4pin/ PFC; 788166/3725; 295320.00000; 
Блоки питания 500-550 Ватт; Блок питания ATX FSP Q-dion QD500 500W 120mm Fan/ 24+4pin/ PFC; 788160/3725; 320160.00000; 
Блоки питания 500-550 Ватт; Блок питания ATX Power MAN IP-S550AQ3-0 550W ATX12V 2.2/ 20+4pin/ 120mm Fan; 780970/3725; 485201.00000; 
Процессоры AMD Socket AM3+; Socket AM3 AsRock N68-VS3 UCC GeForce 7025/630А mATX/ 2xDDR3/ PCI-E/ SVGA/ SATA/ RAID Sound 5.1/ GLan; 788747/3725; 455242.00000; 
Карты расширения Secure Digital (SD); Micro Secure Digital (Micro SD) Card 16Gb Silicon Power SP016GBSTH004V10-SP Class 4 + SD Adapter; 789416/3725; 93840.00000; 
Картридеры; Card Reader Defender Micro; 787978/3725; 72353.00000; 
Картридеры; Card Reader Defender Superior Slim; 785306/3725; 84752.00000; 
Мониторы LCD 19;" 18.5"" Acer V193HQLAob LED Black/ 1366x768/ 16:9/ TN+Film/ 250 кд/м2/ 12 000 000:1/ 176°/176°/ 5 мс/ D-Sub"; 786053/3725; 1019566.00000; 
Мониторы LCD 19;" 18.5"" LG E1941T LED Black/ 1366x768/ 16:9/ TN+Film/ 250 кд/м2/ 5 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub"; 789152/3725; 1186770.00000; 
Мониторы LCD 19;" 18.5"" LG W1943C Black/ 1366x768/ 16:9/ TN+Film/ 200 кд/м2/ 30 000:1/ 90°/60°/ 5 мс/ D-Sub"; 788590/3725; 1025579.00000; 
Мониторы LCD 19;" 18.5"" ASUS VH192D Black/ 1366x768/ 16:9/ TN+Film/ 250 кд/м2/ 10 000:1/ 170°/160°/ 5 мс/ D-Sub"; 781409/3725; 1182474.00000; 
Мониторы LCD 19;" 19"" Philips 192E2SB/01 / 1366x768/ 16:9/ TN+Film/ 250 кд/м2/ 500 000:1/ 176°/170°/ 5 мс/ DVI/ D-Sub"; 789460/3725; 1058411.00000; 
Мониторы LCD 19;" 19"" Philips 196V3LAB/00 WLED Black 1366x768/ 16:10/ 10000000:1/ 170°/160°/ 5ms/ 250cd/m2/ DVI-D/ D-Sub/ 2x1/5W"; 788234/3725; 1219979.00000; 
Мониторы LCD 19;" 19"" Philips 196V3LSB/01 LED Black/ 1366x768/ 16:9/ TN+Film/ 250 кд/м2/ 10 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub"; 789259/3725; 1048800.00000; 
Мониторы LCD 19;" 19"" Philips 197E3LSU/00 WLED Black 1366x768/ 20000000:1/ 170°/160°/ 5ms/ 250cd/m2/ DVI-D/ D-Sub"; 788224/3725; 1136201.00000; 
Мониторы LCD 19;" 19"" Philips 19B1CB/00 Black 1280x1024/ 5:4/ 25000:1/ 176°/170°/ 5ms/ 250cd/m2/ DVI-D/ D-Sub/ 2x1W/ USB/ VESA"; 784561/3725; 1780200.00000; 
Мониторы LCD 19;" 19"" Philips 19S1SB/00 Black 1280x1024/ 5:4/ 25000:1/ 176°/170°/ 5ms/ 250cd/m2/ DVI-D/ D-Sub/ VESA"; 784567/3725; 1649100.00000; 
Мониторы LCD 19;" 19"" Samsung E1920NR Silver 1280x1024/ 50000:1/170° /160°/ 5ms/ 250cd/m2/ D-Sub/ VESA"; 785047/3725; 1552500.00000; 
Мониторы LCD 20 -22;" 20"" LG E2041S LED / 1600x900/ 16:9/ TN+Film/ 250 кд/м2/ 5 000 000:1/ 170°/160°/ 5 мс/ D-Sub"; 788989/3725; 1311000.00000; 
Мониторы LCD 20 -22;" 20"" LG W2043S PF Black 1600x900/ 30000:1/ 170°/160°/ 5ms/ 250cd/m2/ D-Sub"; 782043/3725; 1264961.00000; 
Мониторы LCD 20 -22;" 20"" Philips 201BL2CB/00 LED / 1600x900/ 16:9/ TN+Film/ 250 кд/м2/ 20 000 000:1/ 176°/170°/ 5 мс/ DVI/ D-Sub/ Sound/ USB hub"; 788804/3725; 1709669.00000; 
Мониторы LCD 20 -22;" 20"" Philips 202E2SB Black 1600x900/ 500000:1/ 176°/170°/ 5ms/  250cd/m2/ DVI/ D-Sub/ VESA"; 786876/3725; 1453837.00000; 
Мониторы LCD 20 -22;" 20"" Philips 206V3LAB/00 W-LED Black 1600x900/ 10000000:1/ 170°/160°/ 5ms/  250cd/m2/ DVI-D/ D-Sub/ 2x1.5W"; 788226/3725; 1393800.00000; 
Мониторы LCD 20 -22;" 21.5"" LG IPS225T LED Black/ 1920x1080/ 16:9/ IPS/ 250 кд/м2/ 5 000 000:1/ 178°/178°/ 5 мс/ DVI/ D-Sub"; 789597/3725; 1845005.00000; 
Мониторы LCD 20 -22;" 22"" ASUS VH228D LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 50 000 000:1/ 170°/160°/ 5 мс/ D-Sub"; 789209/3725; 1798153.00000; 
Мониторы LCD 20 -22;" 22"" LG E2241S LED Black 1920x1080/ 5000000:1/ 170°/160°/ 5ms/ 250cd/m2/ D-Sub/ VESA"; 787842/3725; 1515002.00000; 
Мониторы LCD 20 -22;" 22"" LG E2241T LED Black 1920x1080/ 5000000:1/ 170°/160°/ 5ms/ 250cd/m2/ DVI-D/ D-Sub/ VESA"; 788583/3725; 1468486.00000; 
Мониторы LCD 20 -22;" 22"" LG E2251T LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 5 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub"; 789276/3725; 1587000.00000; 
Мониторы LCD 20 -22;" 22"" LG E2281VR LED Black 1920x1080/ 10000000:1/ 170°/160°/ 5ms/ 250cd/m2/ HDMI/ DVI-D/ D-Sub/ Headphone"; 788584/3725; 2420963.00000; 
Мониторы LCD 20 -22;" 22"" LG IPS226V S-IPS 1920x1080/ 5000000:1/ 178°/178°/ 6ms/ 250cd/m2/ HDMI. DVI-D/ D-Sub/ VESA"; 787657/3725; 2070828.00000; 
Мониторы LCD 20 -22;" 22"" LG M2250D+TV LED 1920x1080/ 5000000:1/ 176°/170°/ 5ms/ 250cd/m2/ HDMI/ D-Sub/ 2x5W/ ДУ/ VESA"; 788588/3725; 2518500.00000; 
Мониторы LCD 20 -22;" 21.5"" LG W2243S Black/ 1920x1080/ 16:9/ TN+Film/ 300 кд/м2/ 30 000:1/ 176°/170°/ 5 мс/ D-Sub"; 780638/3725; 1378620.00000; 
Мониторы LCD 20 -22;" 22"" NEC P221W Black/ 1680x1050/ 16:10/ PVA/ 300 кд/м2/ 1 000:1/ 178°/178°/ 6 мс/ DVI/ D-Sub/ Pivot"; 780551/3725; 5542434.00000; 
Мониторы LCD 20 -22;" 22"" Philips 220V1SB/62 Black/ 1680x1050/ 16:10/ TN+Film/ 250 кд/м2/ 20 000:1/ 176°/170°/ 5 мс/ D-Sub"; 789594/3725; 1548360.00000; 
Мониторы LCD 23 -24;" 23"" LG D2342P LED/ 3D Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 5 000 000:1/ 170°/160°/ 5 мс/ DVI/ HDMI/ D-Sub"; 789274/3725; 2760000.00000; 
Мониторы LCD 23 -24;" 23"" LG E2351T-BN LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 5 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub"; 789596/3725; 2049300.00000; 
Мониторы LCD 23 -24;" 23"" LG IPS235T LED Black/ 1920x1080/ 16:9/ IPS/ 250 кд/м2/ 5 000 000:1/ 178°/178°/ 5 мс/ DVI/ D-Sub"; 789598/3725; 2235600.00000; 
Мониторы LCD 23 -24;" 23"" LG IPS236V IPS LED 1920x1080/ 5000000:1/ 178°/178°/ 5ms/ 250cd/m2/ HDMI/ DVI-D/ D-Sub/ Headphone Out/ VESA"; 788587/3725; 2456400.00000; 
Мониторы LCD 23 -24;" 23"" Samsung B2330 Black 1920x1080/ 70000:1/ 170°/160°/ 5ms/ 300cdc/m2/ DVI-D/ D-Sub/ VESA"; 785803/3725; 2146950.00000; 
Мониторы LCD 23 -24;" 23"" Samsung S23A350N LED / 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 1 000 000:1/ 170°/160°/ 5 мс/ D-Sub"; 789139/3725; 2203860.00000; 
Мониторы LCD 23 -24;" 23.6"" ViewSonic VX2451mhp-LED LED White/ 1920x1080/ 16:9/ TN+Film/ 300 кд/м2/ 20 000 000:1/ 170°/160°/ 5 мс/ DVI/ HDMI/ D-Sub/ Sound"; 788800/3725; 2514096.00000; 
Мониторы LCD 23 -24;" 24"" LG E2441T LED / 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 5 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub"; 788990/3725; 2083800.00000; 
Мониторы LCD 23 -24;" 24"" Philips 247E3LSU/00 LED Black-Brown/ 1920x1080/ 16:9/ TN+Film/ 300 кд/м2/ 20 000 000:1/ 170°/160°/ 5 мс/ DVI/ D-Sub"; 789164/3725; 1932000.00000; 
Мониторы LCD 23 -24;" 24"" Samsung S24A350H LED Black/ 1920x1080/ 16:9/ TN+Film/ 250 кд/м2/ 170°/160°/ 2 мс/ D-Sub/ HDMI"; 789137/3725; 2737541.00000; 
Мониторы LCD 25 -46;" 27"" Samsung S27A550H LED Black/ 1920x1080/ 16:9/ TN+Film/ 300 кд/м2/ 1 000 000:1/ 170°/160°/ 5 мс/ D-Sub/ HDMI"; 789506/3725; 4079376.00000; 
Системы охлаждения. вентиляторы; Кулер Arctic Cooling Alpine 64 Pro 500-2000rpm/ 90mm Fan/ 36.7CFM/ 90W/ AL; 781921/3725; 93506.00000; 
Системы охлаждения. вентиляторы; Вентилятор Arctic Cooling Arctic F9 500-2000rpm/ 92mm/ 23.5dBa; 786092/3725; 30128.00000; 
Системы охлаждения. вентиляторы; Вентилятор Arctic Cooling Arctic F9 Pro 500-2000rpm/ 92mm/ 23.5dBa; 786097/3725; 36676.00000; 
Системы охлаждения. вентиляторы; Вентилятор Arctic Cooling Arctic F9 Pro TC 500-2000rpm/ 92mm/ 23.5dBa/ Temperature Controlled; 786095/3725; 44825.00000; 
Системы охлаждения. вентиляторы; Вентилятор Arctic Cooling Arctic Fan 9L 1500rpm/ 92mm/ 12V; 781923/3725; 21984.00000; 
Системы охлаждения. вентиляторы; Кулер Arctic Cooling Freezer 13 Limited Edition/ 600-2000rpm/ 92mm Fan/ 36.4cfm/ 200W; 787947/3725; 399773.00000; 
Системы охлаждения. вентиляторы; Кулер Arctic Cooling Freezer 13/ 600-2000rpm/ 92mm Fan/ 36.4cfm; 787946/3725; 299195.00000; 
